"","ensembl.id","Symbol","moduleColor","GS.fgf21.serum","MM.maroon","MM.paleturquoise"
"1","ENSMUSG00000071178","Serpina1b","maroon",0.701995059377273,0.869540798375421,0.641572473106474
"2","ENSMUSG00000030815","Phkg2","maroon",0.674086944118264,0.80205028193,0.716388872980562
"3","ENSMUSG00000066366","Serpina1a","maroon",0.658552516109793,0.915953449916333,0.666491783893497
"4","ENSMUSG00000079015","Serpina1c","maroon",0.636360620053602,0.925530944247258,0.623873695574914
"5","ENSMUSG00000035757","Selenoo","maroon",0.635793527493303,0.757123248415331,0.356191559966376
"6","ENSMUSG00000029154","Cwh43","maroon",0.620890845079909,0.812819103650145,0.55553614246799
"7","ENSMUSG00000033860","Fgg","maroon",0.616172206808359,0.834775833512313,0.443519966179944
"8","ENSMUSG00000038991","Txndc5","maroon",0.614457694894343,0.711292850146659,0.443190409711494
"9","ENSMUSG00000038567","Cyp24a1","maroon",0.614249903451882,0.726189452038836,0.439406563166004
"10","ENSMUSG00000020838","Slc6a4","maroon",0.608370415770324,0.815898993592084,0.428951126546139
"11","ENSMUSG00000074639","Rdh16f2","maroon",0.608044479311216,0.884440107669365,0.732172129735876
"12","ENSMUSG00000095388","Hsd3b8","maroon",0.607817411785813,0.860828503488285,0.731726786553207
"13","ENSMUSG00000018322","Tomm34","paleturquoise",0.79491139369499,0.777909003636674,0.782999492761358
"14","ENSMUSG00000033294","Noc4l","paleturquoise",0.794029489012801,0.721170810284747,0.636949891866624
"15","ENSMUSG00000036678","Aaas","paleturquoise",0.778198373844095,0.325078720492944,0.60458081096199
"16","ENSMUSG00000022552","Sharpin","paleturquoise",0.772706134799985,0.531399304882827,0.875386740894983
"17","ENSMUSG00000032127","Vps11","paleturquoise",0.772696556760758,0.604379497217476,0.634443592593941
"18","ENSMUSG00000029860","Zyx","paleturquoise",0.768065053023533,0.697899798651413,0.847989713195991
"19","ENSMUSG00000020875","Hoxb9","paleturquoise",0.766301632710217,0.610514938252763,0.642344110545003
"20","ENSMUSG00000040734","Ppp1r13l","paleturquoise",0.76513539021742,0.345546729197961,0.401785816702024
"21","ENSMUSG00000030189","Ybx3","paleturquoise",0.758020358713576,0.202670129975789,0.593623141347851
"22","ENSMUSG00000031862","Atp13a1","paleturquoise",0.754892694707265,0.603575097588119,0.790048669172016
"23","ENSMUSG00000068856","Sf3b4","paleturquoise",0.751377949177609,0.656854276654311,0.583736902297059
"24","ENSMUSG00000024078","Ttc27","paleturquoise",0.750748288732949,0.607885120645236,0.47582059518762
"25","ENSMUSG00000057762","Gm6169","paleturquoise",0.748122734723816,0.75486422151592,0.644472227997515
"26","ENSMUSG00000032123","Dpagt1","paleturquoise",0.741831774762649,0.610654423288908,0.730341204166424
"27","ENSMUSG00000033706","Smyd5","paleturquoise",0.737843089373756,0.650857103062202,0.638994534223103
"28","ENSMUSG00000078317","F8a","paleturquoise",0.736925161973325,0.420653095606226,0.653104007457763
"29","ENSMUSG00000032562","Gnai2","paleturquoise",0.735173005889446,0.526670575588377,0.915621861448696
"30","ENSMUSG00000026355","Mcm6","paleturquoise",0.734531177378688,0.339438748178015,0.577925386129112
"31","ENSMUSG00000024927","Rela","paleturquoise",0.734047121083581,0.56047136020195,0.884288701634284
"32","ENSMUSG00000005566","Trim28","paleturquoise",0.733195591312013,0.644137604956817,0.85736781411671
"33","ENSMUSG00000022010","Tsc22d1","paleturquoise",0.732658335788601,0.541498188864337,0.736341795234121
"34","ENSMUSG00000022721","Trmt2a","paleturquoise",0.725513341226976,0.570590994485268,0.817545108113451
"35","ENSMUSG00000031586","Rbpms","paleturquoise",0.723991326760513,0.87067724764732,0.663332277944254
"36","ENSMUSG00000042303","Sgsm3","paleturquoise",0.72004222534894,0.375088311546088,0.837009396222157
"37","ENSMUSG00000020918","Kat2a","paleturquoise",0.71812202826822,0.219850424578931,0.778413519960334
"38","ENSMUSG00000051439","Cd14","paleturquoise",0.715645412948864,0.572798779514054,0.778692973788904
"39","ENSMUSG00000017264","Exosc10","paleturquoise",0.714151866744195,0.507221044794428,0.715804926410589
"40","ENSMUSG00000020282","Rhbdf1","paleturquoise",0.713657189899994,0.454149795202412,0.895666228984114
"41","ENSMUSG00000001415","Smg5","paleturquoise",0.712691196601421,0.469723336666172,0.810154557980424
"42","ENSMUSG00000022175","Lrp10","paleturquoise",0.712610470814388,0.42686964635759,0.857075543197376
"43","ENSMUSG00000038000","Acd","paleturquoise",0.712348709996035,0.458590130576676,0.909565645176958
"44","ENSMUSG00000028833","Ncdn","paleturquoise",0.71204222089081,0.655496777682473,0.636873563301732
"45","ENSMUSG00000020828","Pld2","paleturquoise",0.711887196420704,0.59378327821629,0.849813432608097
"46","ENSMUSG00000025159","Mms19","paleturquoise",0.711593090020215,0.593460454604283,0.695814671370337
"47","ENSMUSG00000036281","Snapc4","paleturquoise",0.710462563445319,0.418889729635321,0.836234369849841
"48","ENSMUSG00000021810","Ecd","paleturquoise",0.709848937828429,0.729275247294434,0.839032722225042
"49","ENSMUSG00000031785","Adgrg1","paleturquoise",0.709269944225941,0.763705080638131,0.668857166363132
"50","ENSMUSG00000022948","Setd4","paleturquoise",0.706698062113126,0.518194462607675,0.799968417693708
"51","ENSMUSG00000040472","Rabggta","paleturquoise",0.705550145558653,0.363243685791407,0.760347857170058
"52","ENSMUSG00000037251","Pomk","paleturquoise",0.704195069010213,0.418084202887499,0.723935270737738
"53","ENSMUSG00000022559","Fbxl6","paleturquoise",0.70325124384868,0.53749745213574,0.924999271207496
"54","ENSMUSG00000027642","Rpn2","paleturquoise",0.701509110915113,0.409779007384934,0.737138621870336
"55","ENSMUSG00000057672","Pkn1","paleturquoise",0.701466930392001,0.321911953681062,0.702677061971018
"56","ENSMUSG00000074406","Zfp628","paleturquoise",0.70023796336965,0.272733827716264,0.835547637406526
"57","ENSMUSG00000026156","B3gat2","paleturquoise",0.699724640722883,0.583176394600158,0.56631730967832
"58","ENSMUSG00000024926","Kat5","paleturquoise",0.699057158381806,0.806436747992528,0.582440811984423
"59","ENSMUSG00000010517","Faf1","paleturquoise",0.699006121196648,0.676028624129315,0.728921504622553
"60","ENSMUSG00000035765","Dym","paleturquoise",0.698527575298942,0.552600005620939,0.877387960201944
"61","ENSMUSG00000033998","Kcnk1","paleturquoise",0.698221511549301,0.802552603681611,0.679214159176866
"62","ENSMUSG00000006390","Elovl1","paleturquoise",0.697788565742321,0.421359123885508,0.785116305143168
"63","ENSMUSG00000045377","Tmem88","paleturquoise",0.697059528232512,0.199815017905439,0.7375034208998
"64","ENSMUSG00000072941","Sod3","paleturquoise",0.696530824567007,0.671549082025753,0.690144014661597
"65","ENSMUSG00000036270","Edc4","paleturquoise",0.696218094495479,0.629080629565611,0.765866257860529
"66","ENSMUSG00000014601","Strip1","paleturquoise",0.695496703130886,0.578342063753117,0.803415217705215
"67","ENSMUSG00000028641","P3h1","paleturquoise",0.693496851069356,0.398906122207157,0.46972652064288
"68","ENSMUSG00000015176","Nolc1","paleturquoise",0.692966047863084,0.52876465108298,0.719560238559655
"69","ENSMUSG00000054662","Ano9","paleturquoise",0.692672509606781,0.557896013250818,0.39205083627251
"70","ENSMUSG00000025579","Gaa","paleturquoise",0.691519765802454,0.682725576145742,0.758516963639997
"71","ENSMUSG00000022847","Thpo","paleturquoise",0.690784236569079,0.427162231492337,0.629668541275267
"72","ENSMUSG00000020782","Llgl2","paleturquoise",0.690271801415216,0.431640622842895,0.70930846353257
"73","ENSMUSG00000036606","Plxnb2","paleturquoise",0.690150528727305,0.567784820073908,0.652249110620194
"74","ENSMUSG00000020733","Slc9a3r1","paleturquoise",0.689500598208918,0.393652548752024,0.822725967061798
"75","ENSMUSG00000095567","Noc2l","paleturquoise",0.68787661413329,0.557639155512938,0.821537593491583
"76","ENSMUSG00000047264","Zfp358","paleturquoise",0.68685258199854,0.537449655181463,0.861746413780827
"77","ENSMUSG00000003868","Ruvbl2","paleturquoise",0.686846223763044,0.503848237418428,0.861635617275001
"78","ENSMUSG00000025580","Eif4a3","paleturquoise",0.686292283030522,0.526523518858068,0.828876948190449
"79","ENSMUSG00000024170","Telo2","paleturquoise",0.68543073030431,0.572961638652546,0.841587942965421
"80","ENSMUSG00000029119","Man2b2","paleturquoise",0.685331497920591,0.673949309757826,0.734927987624306
"81","ENSMUSG00000002458","Rgs19","paleturquoise",0.684581142880122,0.272439970204853,0.485751789193718
"82","ENSMUSG00000058135","Gstm1","paleturquoise",0.684308437619927,0.596013642556308,0.902882005068703
"83","ENSMUSG00000024735","Prpf19","paleturquoise",0.684174309996564,0.725858702898984,0.687966366408047
"84","ENSMUSG00000009566","Fpgs","paleturquoise",0.683856302978926,0.436194843599311,0.837333916757007
"85","ENSMUSG00000020329","Polrmt","paleturquoise",0.683296939663799,0.41841559707837,0.841334538081641
"86","ENSMUSG00000036180","Gatad2a","paleturquoise",0.682978735491793,0.223154796083499,0.45081227389957
"87","ENSMUSG00000025151","Maged1","paleturquoise",0.681977149435631,0.528813434905248,0.757359668554947
"88","ENSMUSG00000005899","Smpd4","paleturquoise",0.680310969982799,0.472125083135096,0.465277777830635
"89","ENSMUSG00000029777","Gars","paleturquoise",0.679952028312393,0.583712106439739,0.809540742142267
"90","ENSMUSG00000023224","Serping1","paleturquoise",0.679368361966591,0.436177427737577,0.641265066126427
"91","ENSMUSG00000020898","Ctc1","paleturquoise",0.679121008804905,0.22502703771086,0.606819311404365
"92","ENSMUSG00000029480","Dhx37","paleturquoise",0.678797767074756,0.620716190471706,0.834841672865186
"93","ENSMUSG00000030731","Syt3","paleturquoise",0.677696260874721,0.376533272819126,0.878390296336495
"94","ENSMUSG00000005320","Fgfr4","paleturquoise",0.677224468812009,0.470984713888001,0.637956488628126
"95","ENSMUSG00000034022","Cpsf1","paleturquoise",0.676431618204345,0.444629118597413,0.623344741693495
"96","ENSMUSG00000029073","Cptp","paleturquoise",0.676264454357865,0.577268577224162,0.675074234924229
"97","ENSMUSG00000073423","Zfp414","paleturquoise",0.675989036442888,0.469497165659036,0.717765037934535
"98","ENSMUSG00000020935","Dcakd","paleturquoise",0.67538722531953,0.612057893614125,0.76089106471071
"99","ENSMUSG00000030769","Slc5a11","paleturquoise",0.675245226349594,0.547062830719487,0.697490234777351
"100","ENSMUSG00000079562","Maea","paleturquoise",0.675121600538482,0.497109477392491,0.844788209864542
"101","ENSMUSG00000020780","Srp68","paleturquoise",0.67428316109861,0.626074858518307,0.801278369986605
"102","ENSMUSG00000100397","Gm28071","paleturquoise",0.674176262293624,0.585207161549126,0.53156672801416
"103","ENSMUSG00000040471","Ggt6","paleturquoise",0.672709096665462,0.68461638628341,0.891939201712178
"104","ENSMUSG00000075600","Zc3h3","paleturquoise",0.672515154450223,0.344252820061895,0.69514883659536
"105","ENSMUSG00000069520","Tmem19","paleturquoise",0.671700847546519,0.783970617672836,0.645447515013622
"106","ENSMUSG00000055720","Ubl7","paleturquoise",0.671073034813304,0.574188536932549,0.857700675369079
"107","ENSMUSG00000061981","Flot2","paleturquoise",0.670303796795688,0.563819918514219,0.826462863569313
"108","ENSMUSG00000042992","Borcs5","paleturquoise",0.668729401540091,0.441519890713174,0.767228135499696
"109","ENSMUSG00000027315","Spint1","paleturquoise",0.667634861499892,0.375728805350626,0.80689716505808
"110","ENSMUSG00000033365","Ipo13","paleturquoise",0.66704905438273,0.321444017926641,0.771024877658387
"111","ENSMUSG00000041645","Ddx24","paleturquoise",0.666752122667,0.651105312854058,0.843324560698597
"112","ENSMUSG00000038508","Gdf15","paleturquoise",0.666062620837909,0.206901073228428,0.265466220093163
"113","ENSMUSG00000020941","Map3k14","paleturquoise",0.665791675841561,0.396447069161859,0.787714668695619
"114","ENSMUSG00000028948","Nol9","paleturquoise",0.665556133956435,0.472801668198825,0.695563549804188
"115","ENSMUSG00000031340","Gabre","paleturquoise",0.665256711765448,0.438574891773141,0.66681634861227
"116","ENSMUSG00000029472","Anapc5","paleturquoise",0.664754459718736,0.571794318804713,0.926358339767991
"117","ENSMUSG00000033809","Alg3","paleturquoise",0.663977665843875,0.353065767381285,0.710021395031918
"118","ENSMUSG00000004561","Mettl17","paleturquoise",0.663797202163426,0.636399793740906,0.758748632524647
"119","ENSMUSG00000025357","Dgka","paleturquoise",0.663274570811222,0.710261721523472,0.440445864771904
"120","ENSMUSG00000036693","Nop14","paleturquoise",0.663015153459485,0.475636936174785,0.637534300154978
"121","ENSMUSG00000015889","Lta4h","paleturquoise",0.662166797722592,0.546362975379262,0.51503267729452
"122","ENSMUSG00000022037","Clu","paleturquoise",0.662095522134533,0.267523886001051,0.772141949832854
"123","ENSMUSG00000036845","Lin37","paleturquoise",0.661347881171207,0.577948218817081,0.914642044818334
"124","ENSMUSG00000100922","Gm8520","paleturquoise",0.660625752871367,0.531489331288331,0.740952543072892
"125","ENSMUSG00000038828","Tmem214","paleturquoise",0.660494484353846,0.506617305273635,0.922690924542807
"126","ENSMUSG00000030982","Vps35l","paleturquoise",0.660279722161348,0.574522151072677,0.527419727458623
"127","ENSMUSG00000089876","Tmem102","paleturquoise",0.659332166557228,0.381446599832445,0.853401620477437
"128","ENSMUSG00000036940","Kdm1a","paleturquoise",0.65918165454215,0.444400747632863,0.716644135591976
"129","ENSMUSG00000029703","Lrwd1","paleturquoise",0.657636482031809,0.548689044780559,0.922019673754697
"130","ENSMUSG00000080994","Gm13464","paleturquoise",0.65740795845723,0.601757215072524,0.806094473344217
"131","ENSMUSG00000038324","Trpc4ap","paleturquoise",0.657213238290659,0.44720339246299,0.710431573175256
"132","ENSMUSG00000014791","Elmo3","paleturquoise",0.656730618192841,0.480420487580161,0.790019058360565
"133","ENSMUSG00000026694","Eef1aknmt","paleturquoise",0.656477338751919,0.583010421518899,0.751905323426134
"134","ENSMUSG00000022614","Lmf2","paleturquoise",0.655549362702889,0.497297465200023,0.875855399548727
"135","ENSMUSG00000034681","Rnps1","paleturquoise",0.655447159542113,0.572612121490903,0.821223605387452
"136","ENSMUSG00000030822","Prr14","paleturquoise",0.65495172325718,0.520988723310598,0.489632405914851
"137","ENSMUSG00000063796","Slc22a8","paleturquoise",0.654861446070714,0.782844371316183,0.59763901377411
"138","ENSMUSG00000047878","A4galt","paleturquoise",0.653927761691744,0.627956410667233,0.805862108625971
"139","ENSMUSG00000027551","Zfp64","paleturquoise",0.65339995287569,0.316595145804415,0.818948852971306
"140","ENSMUSG00000020549","Elac2","paleturquoise",0.65336966933801,0.342854383197994,0.478519897712375
"141","ENSMUSG00000001518","Itfg2","paleturquoise",0.653242036248462,0.595676718276394,0.808159714819963
"142","ENSMUSG00000002871","Tpra1","paleturquoise",0.65318744289434,0.536438679695049,0.794414141652475
"143","ENSMUSG00000038542","Pcid2","paleturquoise",0.652740705608355,0.418381957020162,0.636928304622223
"144","ENSMUSG00000023110","Prmt5","paleturquoise",0.652308619835499,0.585448336760856,0.830886665350507
"145","ENSMUSG00000041477","Dcp1b","paleturquoise",0.651833798704666,0.532360285063858,0.591249007118879
"146","ENSMUSG00000091639","Gm3756","paleturquoise",0.651225536996844,0.422790772693917,0.570539524705543
"147","ENSMUSG00000029102","Hgfac","paleturquoise",0.650895138850437,0.396248731346884,0.875701878213181
